Question,Difficulty,Correct Answer,Option 1,Option 2,Option 3,Option 4
Fill in the blank: The _______ is known as the 'Cradle of Nigeria'.,hard,A,Niger Delta,South West,North Central,North East
Which artist is credited with popularizing the genre of Afrobeats globally?,medium,B,Burna Boy,Wizkid,Davido,2Baba
The primary function of the respiratory system is to _______.,easy,C,Circulate blood,Digest food,Exchange gases,Produce hormones
"In human anatomy, the primary role of the pancreas is to _______.",medium,B,Produce bile,Digest carbohydrates,Regulate body temperature,Filter blood
Fill in the blank: The _______ was Nigeria's first military ruler after independence.,hard,D,Nnamdi Azikiwe,Yakubu Gowon,Muhammadu Buhari,Johnson Aguiyi-Ironsi
The Nigerian artist known for the song 'Joro' is _______.,medium,A,Wizkid,Davido,Olamide,Burna Boy
Fill in the blank: The _______ is Nigeria's national anthem.,easy,A,"Arise, O Compatriots","Nigeria, We Hail Thee",Land of Beauty,The Great Land
Which Nigerian comedian is known for his character 'Ayo Makun'?,medium,C,Basketmouth,Ali Baba,AY,Bovi
What is the primary role of the immune system in the human body?,easy,B,Produce energy,Fight infections,Digest food,Regulate temperature
Which Nigerian leader was assassinated in 1983?,hard,A,Shehu Shagari,Nnamdi Azikiwe,Sani Abacha,Muhammadu Buhari
The main function of the skeletal system is to _______.,easy,A,Support the body,Digest food,Produce hormones,Filter blood
Fill in the blank: The _______ is a major river in Nigeria that flows through several states.,medium,A,Niger,Benue,Cross River,Osun
Which Nigerian musician is known for his philanthropy and the song 'If'?,medium,A,Davido,Wizkid,Burna Boy,Olamide
The process of cell division in human cells is called _______.,medium,A,Mitosis,Meiosis,Fission,Regeneration
Which Nigerian artist released the hit song 'Soco'?,medium,A,Wizkid,Davido,Burna Boy,Olamide
The primary function of the integumentary system is to _______.,easy,A,Protect the body,Regulate temperature,Digest food,Support the body
Fill in the blank: The _______ is Nigeria's national flower.,medium,A,Costus spectabilis,Iroko,African Violet,Orchid
Who is the Nigerian artist known for the song 'Joro'?,medium,A,Wizkid,Davido,Burna Boy,Olamide
Identify the year when the Nigerian Civil War ended.,medium,B,1967,1970,1975,1980
Which Nollywood film featured the character 'Aunty Ify' played by Patience Ozokwor?,hard,A,Osuofia in London,The Wedding Party,The Figurine,Aki na Ukwa
The _______ is the part of the eye that controls the amount of light entering.,easy,B,retina,iris,cornea,lens
Fill in the blank: The _______ circulatory system is responsible for the flow of blood between the heart and lungs.,medium,B,systemic,pulmonary,coronary,portal
The song 'Risky' features which Nigerian artist?,medium,D,Patoranking,Kizz Daniel,Teni,Davido
In what year did Nigeria first participate in the FIFA World Cup?,medium,B,1982,1994,1998,2002
Which Nigerian musician is known for the hit single 'Dumebi'?,medium,A,Rema,Joeboy,Fireboy DML,Omah Lay
Which event marked the beginning of Nigeria's return to democracy in 1999?,hard,A,Election of Olusegun Obasanjo,End of military rule,Constitutional reform,Formation of political parties
Who is the lead actress in the Netflix series 'Sulaiman: The Last Hope'?,hard,A,Nse Ikpe-Etim,Omoni Oboli,Ini Edo,Rita Dominic
The _______ is a network of cells that transmit signals throughout the body.,easy,B,muscular system,nervous system,endocrine system,skeletal system
What year did Nigeria's Civil War begin?,medium,B,1966,1967,1968,1969
When was the first military coup in Nigeria?,medium,C,1960,1963,1966,1975
Which Nigerian artist is known for the song 'Essence'?,medium,A,Tems,Wizkid,Burna Boy,Davido
Which country did Nigeria fight against in the Biafran War?,hard,D,Cameroon,Ghana,United Kingdom,Biafra
"Who starred in the movie 'Lionheart', Nigeria's first-ever Oscar submission?",hard,A,Genevieve Nnaji,Rita Dominic,Omotola Jalade-Ekeinde,Adesua Etomi
What year was the Abacha regime in Nigeria?,medium,B,1985-1993,1993-1998,1998-2003,2003-2007
Which Nigerian comedian is famous for his 'Coconut Head' character?,medium,B,Ali Baba,Ayo Makun,Bovi,Ikorodu Bois
Fill in the blank: The _______ is considered the 'master gland' of the endocrine system.,hard,B,thyroid,pituitary,adrenal,pancreas
The _______ is known for filtering waste from the blood.,easy,B,liver,kidney,spleen,bladder
Which Nigerian artist won the Headies Award for 'Best New Artist' in 2019?,medium,C,Joeboy,Omah Lay,Rema,Blaqbonez
During which period did the Nigerian Civil War take place?,medium,A,1967-1970,1980-1983,1975-1978,1960-1963
_______ is known as the 'King of Afrobeats'.,easy,A,Wizkid,Davido,2Baba,P-Square
Who is the Nigerian artist behind the hit single 'Soco'?,easy,B,Olamide,Wizkid,Burna Boy,Tiwa Savage
The _______ is the main organ responsible for detoxifying substances in the human body.,medium,B,heart,liver,lungs,kidneys
"Which significant event took place on October 1, 1960 in Nigeria?",medium,B,Civil War,Independence,Republic formation,Military coup
Who is known for the popular song 'Ye'?,easy,B,Wizkid,Burna Boy,Davido,Olamide
What is the average human adult's total number of bones?,medium,A,206,305,150,250
Which Nigerian author wrote 'Things Fall Apart'?,medium,A,Chinua Achebe,Wole Soyinka,Buchi Emecheta,Sefi Atta
Who is often referred to as the 'Queen of Afrobeats'?,medium,B,Yemi Alade,Tiwa Savage,Simi,Niniola
Fill in the blank: The human heart consists of _______ chambers.,easy,B,2,4,3,5
Which Nigerian musician is known for his song 'If'?,easy,B,Olamide,Davido,Burna Boy,P-Square
The human brain is divided into _______ main parts.,medium,C,2,3,4,5
Whose real name is Ayo Balogun?,medium,B,Olamide,Wizkid,Davido,Burna Boy
Fill in the blank: The _______ arteries supply blood to the brain.,medium,B,coronary,carotid,aorta,pulmonary
Which country colonized Nigeria?,easy,C,France,Germany,Britain,Portugal
Who won the 'Best International Act' at the 2020 BET Awards?,medium,B,Tiwa Savage,Burna Boy,Wizkid,Davido
The _______ is responsible for the body's movement and posture.,easy,B,nervous system,muscular system,skeletal system,digestive system
Fill in the blank: The Nigerian music genre that emphasizes highlife is called _______.,medium,C,Afrobeats,Gospel,Juju,Hip-hop
Fill in the blank: The _______ is the body's control center and is part of the nervous system.,medium,B,spinal cord,brain,heart,lungs
Which was the first Nigerian state to be created?,medium,A,Lagos,Benue,Enugu,Kano
Which artist is known for the song 'Dumebi'?,easy,A,Rema,Fireboy DML,Burna Boy,Simi
The average human heart beats about how many times per minute at rest?,easy,A,60-100,40-60,100-120,80-90
What is the name of the struggle for independence in Nigeria known as?,medium,C,Nigerian Reformation,Nigeria Liberation,Nigerian Independence Movement,Nigeria Freedom Struggle
Fill in the blank: The _______ is the primary organ for respiration in humans.,easy,B,heart,lungs,kidneys,liver
Which Nigerian artist is famous for his song 'Pana'?,easy,A,Tekno,Wizkid,Davido,Olamide
The human skeletal system is made up of how many bones?,medium,A,206,305,150,250
Who was Nigeria's first president after independence?,medium,A,Nnamdi Azikiwe,Sani Abacha,Olusegun Obasanjo,Muhammadu Buhari
Which Nigerian artist is known for his eclectic style and hit song 'Fever'?,easy,D,Burna Boy,Tiwa Savage,Davido,Wizkid
What was the main reason for Nigeria's military coups in the late 20th century?,hard,D,Economic instability,Colonial legacy,Ethnic tension,Political corruption
Which Nigerian musician's real name is David Adedeji Adeleke?,medium,C,Olamide,Wizkid,Davido,Burna Boy
What was the first Nigerian state to gain independence?,medium,A,Western Region,Northern Region,Eastern Region,Lagos
Who sang the popular track 'Duro'?,easy,C,Wizkid,Olamide,Tekno,Davido
"In Nigeria, the first military coup occurred in which year?",medium,C,1960,1965,1966,1970
Fill in the blank: The _______ is celebrated as Nigeria's Independence Day.,easy,B,1st of January,1st of October,15th of August,27th of May
Which Nigerian artist is known for the hit single 'African Queen'?,medium,B,Wizkid,2Baba,Davido,Olamide
The human brain is divided into how many main lobes?,medium,B,2,4,5,6
Complete this phrase: 'Nollywood' is the film industry based in _______.,easy,A,Lagos,Abuja,Port Harcourt,Calabar
Which part of the human body is primarily responsible for detoxification?,medium,B,Kidneys,Liver,Lungs,Heart
Which musician is often referred to as the 'King of Afrobeat'?,medium,A,Fela Kuti,Davido,Burna Boy,Wande Coal
What was Nigeria's name before it was officially changed in 1970?,hard,A,Niger River Colony,British Nigeria,Colonial Nigeria,Royal Nigeria
Who is the Nigerian author of 'Things Fall Apart'?,medium,A,Chinua Achebe,Wole Soyinka,Ben Okri,Sefi Atta
The lungs are located in which part of the human body?,easy,A,Chest,Abdomen,Head,Pelvis
Fill in the blank: 'Sweet Mother' is a famous song by _______.,medium,C,Sunny Ade,Oliver de Coque,Nelly Uchendu,Fela Kuti
Which Nigerian military leader was overthrown in a coup in 1985?,hard,A,Muhammadu Buhari,Ibrahim Babangida,Sani Abacha,Olusegun Obasanjo
Who is the artist behind the song 'Ye'?,medium,C,Olamide,Wizkid,Burna Boy,Patoranking
The primary function of the red blood cells is to carry _______.,easy,B,Nutrients,Oxygen,Carbon dioxide,Hormones
During which period did the Biafran War take place?,medium,B,1960-1965,1967-1970,1970-1975,1975-1980
Which Nigerian musician is known for the collaboration with Beyoncé on 'Brown Skin Girl'?,medium,C,Tiwa Savage,Yemi Alade,Wizkid,Davido
What is the primary organ responsible for pumping blood throughout the body?,easy,B,Liver,Heart,Lung,Kidney
Nigeria was formerly known for its colonies including Lagos and _______.,hard,C,Ibadan,Benin,Calabar,Port Harcourt
The human body has how many pairs of chromosomes?,medium,A,23,22,24,21
Which Nigerian city is known as the center of the country's film industry?,easy,A,Lagos,Abuja,Enugu,Port Harcourt
Who was the Nigerian leader during the 1973 oil crisis?,hard,D,Nnamdi Azikiwe,Olusegun Obasanjo,Murtala Mohammed,Shehu Shagari
Which Nigerian singer is known for her hit song 'Kele Kele Love'?,medium,B,Tiwa Savage,Yemi Alade,Simi,Niniola
"Which significant event occurred in Nigeria on January 15, 1966?",medium,B,Independence,Military Coup,Civil War,Republic Formation
Which female Nigerian artist is known for the song 'Joromi'?,medium,B,Simi,Yemi Alade,Tiwa Savage,Timi Dakolo
Fill in the blank: The _______ is an organ that produces insulin.,easy,B,Liver,Pancreas,Kidney,Heart
In what year did Nigeria's first military coup happen?,medium,C,1963,1965,1966,1968
Who is the Nigerian artist known for the song 'Soco'?,medium,A,Wizkid,Davido,Olamide,Mr Eazi
The human body's framework is made up of what?,easy,C,Muscles,Skin,Bones,Tendons
Who was the Nigerian actor that starred in '30 Days in Atlanta'?,medium,B,Jim Iyke,Ramsey Nouah,Desmond Elliot,Aki and Pawpaw
What is the primary function of the human liver?,easy,C,Respiration,Digestion,Detoxification,Circulation
Which Nigerian state was the first to be created after independence?,medium,B,Lagos,Rivers,Oyo,Kano
The song 'Dumebi' was released by which Nigerian artist?,medium,A,Rema,Joeboy,Burna Boy,Santi
Who was the Nigerian military ruler that died in 1998?,hard,B,Ibrahim Babangida,Sani Abacha,Muhammadu Buhari,Olusegun Obasanjo
Which Nigerian musician is known for the song 'Bobo'?,medium,A,Olamide,Davido,Wizkid,Phyno
Fill in the blank: The _______ is Nigeria's national currency.,easy,C,dollar,pound,naira,franc
Who is the Nigerian actor known for his role in the film 'The Wedding Party'?,medium,B,Jim Iyke,Adesua Etomi,Richard Mofe-Damijo,Desmond Elliot
The part of the brain responsible for regulating emotions is called the _______.,hard,B,cerebellum,amygdala,hippocampus,thalamus
Which of the following is a popular Nigerian dance?,easy,B,Samba,Azonto,Tango,Waltz
Which Nigerian female artist is known for her hit song 'Joromi'?,medium,C,Simi,Tiwa Savage,Yemi Alade,Niniola
Which Nigerian comedian is often referred to as 'The King of Comedy'?,medium,A,Ali Baba,Basketmouth,Bovi,AY Makun
Fill in the blank: The _______ is the part of the eye responsible for focusing light.,hard,B,cornea,lens,retina,iris
Which Nigerian actress starred in the series 'Tinsel'?,medium,A,Genevieve Nnaji,Omotola Jalade-Ekeinde,Funke Akindele,Rita Dominic
Which musician is known for the song 'If'? ,easy,B,Wizkid,Davido,Olamide,Patoranking
Which Nigerian state is known as the 'Gateway State'?,easy,A,Ogun,Lagos,Rivers,Kano
Who is the popular Nigerian music producer known for hits like 'Ojuelegba'?,medium,A,Don Jazzy,Masterkraft,Pheelz,Sarz
What was the name of the political party that ruled Nigeria from 1999 to 2015?,medium,A,PDP,APC,NPP,CPC
Which Nollywood actress is known for her role in '30 Days in Atlanta'?,medium,B,Genevieve Nnaji,Funke Akindele,Mercy Johnson,Omotola Jalade-Ekeinde
Fill in the blank: The _______ is a vital organ for detoxification and metabolism.,hard,C,heart,kidney,liver,lungs
Who led Nigeria during the 1970 civil war?,hard,B,Nnamdi Azikiwe,Yakubu Gowon,Olusegun Obasanjo,Mohammed Buhari
Which Nigerian artist is known for the song 'Sweet Mother'?,medium,B,Sunny Ade,Victor Uwaifo,Chief Stephen Osita Osadebe,Felix Liberty
Which Nigerian president was in office during the introduction of the GSM technology?,medium,A,Olusegun Obasanjo,Umaru Musa Yar'Adua,Goodluck Jonathan,Muhammadu Buhari
Who is the lead actor in the movie '30 Days in Atlanta'?,medium,A,Ayo Makun,Jim Iyke,Desmond Elliot,Ramsey Nouah
Fill in the blank: The _______ is essential for the regulation of body temperature.,easy,A,skin,liver,kidney,heart
Which Nigerian filmmaker is known for 'The Figurine'?,medium,A,Kunle Afolayan,Toka McBaror,Desmond Elliot,Izu Ojukwu
The trachea is commonly known as the _______.,easy,A,windpipe,esophagus,bronchus,larynx
Who is famously known as 'Mama Africa'?,hard,D,Angelique Kidjo,Yemi Alade,Nina Simone,Miriam Makeba
The largest artery in the human body is the _______.,hard,B,pulmonary artery,aorta,coronary artery,femoral artery
Which Nigerian artist is known for the hit 'Dumebi'?,medium,A,Rema,Joeboy,Burna Boy,Omah Lay
The human lungs are responsible for the exchange of _______.,easy,C,water,carbon dioxide,oxygen,nitrogen
Which festival is celebrated by the Yoruba people in Nigeria?,medium,B,Eid-el-Fitr,Oro Festival,Easter,Christmas
Who is regarded as the queen of Afrobeats?,medium,A,Tiwa Savage,Yemi Alade,Simi,Niniola
The largest part of the human digestive system is the _______.,hard,B,stomach,small intestine,large intestine,esophagus
What was the capital of Nigeria before Abuja?,medium,A,Lagos,Kaduna,Port Harcourt,Ibadan
Which musician is known for the song 'Soco'?,easy,A,Wizkid,Davido,Burnaboy,Patoranking
Which Nigerian city is known for its oil production?,easy,B,Lagos,Port Harcourt,Kano,Jos
Who is the lead actress in the film 'Lionheart'?,medium,A,Genevieve Nnaji,Omotola Jalade-Ekeinde,Rita Dominic,Funke Akindele
